RMSE,MAE,R2,N,scenario_key,scenario_name,layer,model,step,step_min
443.76,289.27,0.9593,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LightGBM,1,10
430.98,281.74,0.9616,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,XGBoost,1,10
622.93,417.83,0.92,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LightGBM,2,20
607.5,401.49,0.9239,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,XGBoost,2,20
744.46,508.25,0.8858,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LightGBM,3,30
729.22,500.23,0.8904,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,XGBoost,3,30
941.09,664.58,0.8179,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LightGBM,6,60
930.63,665.47,0.8219,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,XGBoost,6,60
427.38,296.42,0.9623,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LSTM,1,10
584.91,393.43,0.9294,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LSTM,2,20
693.58,474.2,0.9009,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LSTM,3,30
881.83,632.06,0.8401,1743,M0_SCADA,M0: 仅SCADA（无LiDAR）,1,LSTM,6,60
442.39,289.06,0.9596,1743,M1_40m,M1: LiDAR 40m + SCADA,1,LightGBM,1,10
435.3,286.32,0.9609,1743,M1_40m,M1: LiDAR 40m + SCADA,1,XGBoost,1,10
625.86,415.48,0.9192,1743,M1_40m,M1: LiDAR 40m + SCADA,1,LightGBM,2,20
616.7,411.18,0.9216,1743,M1_40m,M1: LiDAR 40m + SCADA,1,XGBoost,2,20
754.15,514.62,0.8828,1743,M1_40m,M1: LiDAR 40m + SCADA,1,LightGBM,3,30
734.34,499.37,0.8889,1743,M1_40m,M1: LiDAR 40m + SCADA,1,XGBoost,3,30
965.67,688.84,0.8082,1743,M1_40m,M1: LiDAR 40m + SCADA,1,LightGBM,6,60
947.8,677.47,0.8152,1743,M1_40m,M1: LiDAR 40m + SCADA,1,XGBoost,6,60
443.51,286.31,0.9594,1743,M1_60m,M1: LiDAR 60m + SCADA,1,LightGBM,1,10
433.73,284.59,0.9612,1743,M1_60m,M1: LiDAR 60m + SCADA,1,XGBoost,1,10
630.1,419.44,0.9181,1743,M1_60m,M1: LiDAR 60m + SCADA,1,LightGBM,2,20
617.55,414.68,0.9213,1743,M1_60m,M1: LiDAR 60m + SCADA,1,XGBoost,2,20
755.92,515.28,0.8822,1743,M1_60m,M1: LiDAR 60m + SCADA,1,LightGBM,3,30
744.87,511.18,0.8857,1743,M1_60m,M1: LiDAR 60m + SCADA,1,XGBoost,3,30
960.15,682.42,0.8104,1743,M1_60m,M1: LiDAR 60m + SCADA,1,LightGBM,6,60
956.51,685.46,0.8118,1743,M1_60m,M1: LiDAR 60m + SCADA,1,XGBoost,6,60
445.57,292.97,0.959,1743,M1_90m,M1: LiDAR 90m + SCADA,1,LightGBM,1,10
434.66,284.96,0.961,1743,M1_90m,M1: LiDAR 90m + SCADA,1,XGBoost,1,10
628.86,419.52,0.9184,1743,M1_90m,M1: LiDAR 90m + SCADA,1,LightGBM,2,20
620.87,414.22,0.9205,1743,M1_90m,M1: LiDAR 90m + SCADA,1,XGBoost,2,20
762.52,517.57,0.8802,1743,M1_90m,M1: LiDAR 90m + SCADA,1,LightGBM,3,30
746.01,514.15,0.8853,1743,M1_90m,M1: LiDAR 90m + SCADA,1,XGBoost,3,30
969.24,689.56,0.8068,1743,M1_90m,M1: LiDAR 90m + SCADA,1,LightGBM,6,60
961.94,686.85,0.8097,1743,M1_90m,M1: LiDAR 90m + SCADA,1,XGBoost,6,60
444.97,291.32,0.9591,1743,M1_120m,M1: LiDAR 120m + SCADA,1,LightGBM,1,10
434.73,285.24,0.961,1743,M1_120m,M1: LiDAR 120m + SCADA,1,XGBoost,1,10
633.77,426.68,0.9172,1743,M1_120m,M1: LiDAR 120m + SCADA,1,LightGBM,2,20
614.55,410.32,0.9221,1743,M1_120m,M1: LiDAR 120m + SCADA,1,XGBoost,2,20
757.6,515.51,0.8817,1743,M1_120m,M1: LiDAR 120m + SCADA,1,LightGBM,3,30
736.18,502.09,0.8883,1743,M1_120m,M1: LiDAR 120m + SCADA,1,XGBoost,3,30
981.36,708.97,0.8019,1743,M1_120m,M1: LiDAR 120m + SCADA,1,LightGBM,6,60
963.1,690.81,0.8092,1743,M1_120m,M1: LiDAR 120m + SCADA,1,XGBoost,6,60
445.78,290.36,0.959,1743,M1_150m,M1: LiDAR 150m + SCADA,1,LightGBM,1,10
438.7,287.35,0.9603,1743,M1_150m,M1: LiDAR 150m + SCADA,1,XGBoost,1,10
630.46,424.5,0.918,1743,M1_150m,M1: LiDAR 150m + SCADA,1,LightGBM,2,20
616.53,412.91,0.9216,1743,M1_150m,M1: LiDAR 150m + SCADA,1,XGBoost,2,20
761.58,522.78,0.8805,1743,M1_150m,M1: LiDAR 150m + SCADA,1,LightGBM,3,30
743.04,506.91,0.8862,1743,M1_150m,M1: LiDAR 150m + SCADA,1,XGBoost,3,30
975.79,700.46,0.8042,1743,M1_150m,M1: LiDAR 150m + SCADA,1,LightGBM,6,60
968.56,694.59,0.8071,1743,M1_150m,M1: LiDAR 150m + SCADA,1,XGBoost,6,60
444.17,291.16,0.9593,1743,M1_180m,M1: LiDAR 180m + SCADA,1,LightGBM,1,10
437.99,287.22,0.9604,1743,M1_180m,M1: LiDAR 180m + SCADA,1,XGBoost,1,10
635.29,427.81,0.9168,1743,M1_180m,M1: LiDAR 180m + SCADA,1,LightGBM,2,20
616.01,413.65,0.9217,1743,M1_180m,M1: LiDAR 180m + SCADA,1,XGBoost,2,20
764.92,525.2,0.8794,1743,M1_180m,M1: LiDAR 180m + SCADA,1,LightGBM,3,30
745.35,509.02,0.8855,1743,M1_180m,M1: LiDAR 180m + SCADA,1,XGBoost,3,30
976.86,699.15,0.8037,1743,M1_180m,M1: LiDAR 180m + SCADA,1,LightGBM,6,60
959.93,684.07,0.8105,1743,M1_180m,M1: LiDAR 180m + SCADA,1,XGBoost,6,60
443.46,289.86,0.9594,1743,M1_210m,M1: LiDAR 210m + SCADA,1,LightGBM,1,10
436.98,284.48,0.9606,1743,M1_210m,M1: LiDAR 210m + SCADA,1,XGBoost,1,10
633.29,424.3,0.9173,1743,M1_210m,M1: LiDAR 210m + SCADA,1,LightGBM,2,20
617.98,416.42,0.9212,1743,M1_210m,M1: LiDAR 210m + SCADA,1,XGBoost,2,20
763.73,523.81,0.8798,1743,M1_210m,M1: LiDAR 210m + SCADA,1,LightGBM,3,30
740.16,507.08,0.8871,1743,M1_210m,M1: LiDAR 210m + SCADA,1,XGBoost,3,30
973.15,693.74,0.8052,1743,M1_210m,M1: LiDAR 210m + SCADA,1,LightGBM,6,60
959.25,684.43,0.8108,1743,M1_210m,M1: LiDAR 210m + SCADA,1,XGBoost,6,60
443.2,290.0,0.9594,1743,M1_240m,M1: LiDAR 240m + SCADA,1,LightGBM,1,10
438.02,285.68,0.9604,1743,M1_240m,M1: LiDAR 240m + SCADA,1,XGBoost,1,10
631.53,421.54,0.9177,1743,M1_240m,M1: LiDAR 240m + SCADA,1,LightGBM,2,20
615.98,412.54,0.9217,1743,M1_240m,M1: LiDAR 240m + SCADA,1,XGBoost,2,20
763.77,519.92,0.8798,1743,M1_240m,M1: LiDAR 240m + SCADA,1,LightGBM,3,30
736.41,499.6,0.8882,1743,M1_240m,M1: LiDAR 240m + SCADA,1,XGBoost,3,30
979.47,707.78,0.8027,1743,M1_240m,M1: LiDAR 240m + SCADA,1,LightGBM,6,60
962.15,683.09,0.8096,1743,M1_240m,M1: LiDAR 240m + SCADA,1,XGBoost,6,60
444.6,292.05,0.9592,1743,M1_270m,M1: LiDAR 270m + SCADA,1,LightGBM,1,10
437.95,287.57,0.9604,1743,M1_270m,M1: LiDAR 270m + SCADA,1,XGBoost,1,10
628.84,423.68,0.9184,1743,M1_270m,M1: LiDAR 270m + SCADA,1,LightGBM,2,20
614.08,412.88,0.9222,1743,M1_270m,M1: LiDAR 270m + SCADA,1,XGBoost,2,20
752.17,512.24,0.8834,1743,M1_270m,M1: LiDAR 270m + SCADA,1,LightGBM,3,30
732.84,499.77,0.8893,1743,M1_270m,M1: LiDAR 270m + SCADA,1,XGBoost,3,30
960.6,688.04,0.8102,1743,M1_270m,M1: LiDAR 270m + SCADA,1,LightGBM,6,60
955.34,681.58,0.8123,1743,M1_270m,M1: LiDAR 270m + SCADA,1,XGBoost,6,60
446.56,293.34,0.9588,1743,M1_300m,M1: LiDAR 300m + SCADA,1,LightGBM,1,10
435.03,283.82,0.9609,1743,M1_300m,M1: LiDAR 300m + SCADA,1,XGBoost,1,10
631.43,426.56,0.9178,1743,M1_300m,M1: LiDAR 300m + SCADA,1,LightGBM,2,20
611.97,412.05,0.9228,1743,M1_300m,M1: LiDAR 300m + SCADA,1,XGBoost,2,20
752.46,514.87,0.8833,1743,M1_300m,M1: LiDAR 300m + SCADA,1,LightGBM,3,30
735.67,507.38,0.8885,1743,M1_300m,M1: LiDAR 300m + SCADA,1,XGBoost,3,30
968.14,695.16,0.8072,1743,M1_300m,M1: LiDAR 300m + SCADA,1,LightGBM,6,60
956.76,684.64,0.8117,1743,M1_300m,M1: LiDAR 300m + SCADA,1,XGBoost,6,60
450.82,295.77,0.958,1743,M2_near,M2: 近距(40-120m) + SCADA,1,LightGBM,1,10
437.36,285.73,0.9605,1743,M2_near,M2: 近距(40-120m) + SCADA,1,XGBoost,1,10
633.12,423.41,0.9173,1743,M2_near,M2: 近距(40-120m) + SCADA,1,LightGBM,2,20
627.72,418.2,0.9187,1743,M2_near,M2: 近距(40-120m) + SCADA,1,XGBoost,2,20
759.01,518.24,0.8813,1743,M2_near,M2: 近距(40-120m) + SCADA,1,LightGBM,3,30
757.25,517.27,0.8818,1743,M2_near,M2: 近距(40-120m) + SCADA,1,XGBoost,3,30
979.28,695.65,0.8028,1743,M2_near,M2: 近距(40-120m) + SCADA,1,LightGBM,6,60
969.96,695.25,0.8065,1743,M2_near,M2: 近距(40-120m) + SCADA,1,XGBoost,6,60
444.03,290.44,0.9593,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,LightGBM,1,10
439.97,286.19,0.96,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,XGBoost,1,10
637.78,431.99,0.9161,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,LightGBM,2,20
622.22,418.24,0.9201,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,XGBoost,2,20
769.85,530.93,0.8779,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,LightGBM,3,30
744.65,508.17,0.8857,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,XGBoost,3,30
977.57,701.45,0.8035,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,LightGBM,6,60
969.95,691.34,0.8065,1743,M3_mid,M3: 中距(150-210m) + SCADA,1,XGBoost,6,60
446.63,290.57,0.9588,1743,M4_far,M4: 远距(240-300m) + SCADA,1,LightGBM,1,10
436.99,285.42,0.9606,1743,M4_far,M4: 远距(240-300m) + SCADA,1,XGBoost,1,10
627.79,417.72,0.9187,1743,M4_far,M4: 远距(240-300m) + SCADA,1,LightGBM,2,20
613.84,412.12,0.9223,1743,M4_far,M4: 远距(240-300m) + SCADA,1,XGBoost,2,20
756.79,520.28,0.882,1743,M4_far,M4: 远距(240-300m) + SCADA,1,LightGBM,3,30
741.57,510.53,0.8867,1743,M4_far,M4: 远距(240-300m) + SCADA,1,XGBoost,3,30
970.07,695.11,0.8065,1743,M4_far,M4: 远距(240-300m) + SCADA,1,LightGBM,6,60
960.65,688.62,0.8102,1743,M4_far,M4: 远距(240-300m) + SCADA,1,XGBoost,6,60
447.42,289.73,0.9587,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LightGBM,1,10
438.18,287.26,0.9604,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,XGBoost,1,10
628.3,423.7,0.9186,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LightGBM,2,20
617.73,413.18,0.9213,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,XGBoost,2,20
754.54,517.22,0.8827,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LightGBM,3,30
751.76,513.31,0.8835,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,XGBoost,3,30
982.43,700.88,0.8015,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LightGBM,6,60
962.92,686.77,0.8093,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,XGBoost,6,60
461.17,301.89,0.9561,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LSTM,1,10
610.67,401.95,0.9231,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LSTM,2,20
703.36,465.83,0.898,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LSTM,3,30
900.59,622.46,0.8332,1743,M5_Lall+SCADA,M5: 全距离LiDAR + SCADA,1,LSTM,6,60
453.85,293.98,0.9575,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,LightGBM,1,10
434.95,285.54,0.9609,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,XGBoost,1,10
623.35,419.0,0.9199,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,LightGBM,2,20
617.22,413.72,0.9214,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,XGBoost,2,20
748.38,513.14,0.8846,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,LightGBM,3,30
745.44,514.52,0.8855,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,XGBoost,3,30
971.65,701.17,0.8058,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,LightGBM,6,60
967.64,695.37,0.8074,1743,E1_AllHWS+SCADA+VShear,E1: 全HWS+SCADA+VShear,2,XGBoost,6,60
445.51,289.84,0.959,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,LightGBM,1,10
436.04,288.15,0.9607,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,XGBoost,1,10
632.45,421.5,0.9175,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,LightGBM,2,20
622.19,419.68,0.9202,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,XGBoost,2,20
750.3,511.91,0.884,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,LightGBM,3,30
745.04,506.37,0.8856,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,XGBoost,3,30
977.78,690.71,0.8034,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,LightGBM,6,60
970.79,702.15,0.8062,1743,E2_AllHWS+SCADA+HShear,E2: 全HWS+SCADA+HShear,2,XGBoost,6,60
454.59,295.53,0.9573,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI,2,LightGBM,1,10
436.39,287.89,0.9607,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI,2,XGBoost,1,10
641.15,424.8,0.9152,1743,E3_AllHWS+SCADA+TI,E3: 全HWS+SCADA+TI,2,LightGBM,2,20
